source,table_name,row_identifier,target_column,check_id,issue_code,missing_class,missing_information_area,outlier_metric,outlier_consensus_score,cleaning_action,old_value,new_value,reason
general_dqa,track_status,track_status_id=500,,natural_key_1_unique,DUPLICATED_KEY,,,,,DROP_ROW,,,The DQA issue makes the row structurally unusable or unreliable for the cleaned schema.
general_dqa,track_status,track_status_id=501,,natural_key_1_unique,DUPLICATED_KEY,,,,,DROP_ROW,,,The DQA issue makes the row structurally unusable or unreliable for the cleaned schema.
general_dqa,track_status,track_status_id=725,,natural_key_1_unique,DUPLICATED_KEY,,,,,DROP_ROW,,,The DQA issue makes the row structurally unusable or unreliable for the cleaned schema.
general_dqa,track_status,track_status_id=726,,natural_key_1_unique,DUPLICATED_KEY,,,,,DROP_ROW,,,The DQA issue makes the row structurally unusable or unreliable for the cleaned schema.
missing_values,lap,lap_id=1,,,,,LAP_TIME_INFORMATION,,,DROP_ROW,,,Rows with missing lap time information are removed from the cleaned lap table.
missing_values,lap,lap_id=4,,,,,LAP_TIME_INFORMATION,,,DROP_ROW,,,Rows with missing lap time information are removed from the cleaned lap table.
missing_values,lap,lap_id=7,,,,,LAP_TIME_INFORMATION,,,DROP_ROW,,,Rows with missing lap time information are removed from the cleaned lap table.
missing_values,lap,lap_id=10,,,,,LAP_TIME_INFORMATION,,,DROP_ROW,,,Rows with missing lap time information are removed from the cleaned lap table.
missing_values,lap,lap_id=13,,,,,LAP_TIME_INFORMATION,,,DROP_ROW,,,Rows with missing lap time information are removed from the cleaned lap table.
missing_values,lap,lap_id=16,,,,,LAP_TIME_INFORMATION,,,DROP_ROW,,,Rows with missing lap time information are removed from the cleaned lap table.
missing_values,lap,lap_id=19,,,,,LAP_TIME_INFORMATION,,,DROP_ROW,,,Rows with missing lap time information are removed from the cleaned lap table.
missing_values,lap,lap_id=22,,,,,LAP_TIME_INFORMATION,,,DROP_ROW,,,Rows with missing lap time information are removed from the cleaned lap table.
missing_values,lap,lap_id=25,,,,,LAP_TIME_INFORMATION,,,DROP_ROW,,,Rows with missing lap time information are removed from the cleaned lap table.
missing_values,lap,lap_id=28,,,,,LAP_TIME_INFORMATION,,,DROP_ROW,,,Rows with missing lap time information are removed from the cleaned lap table.
